Date,Event,F1,F2,win,draw,nc
2021-02-13,UFC 258: Usman vs. Burns,Kamaru Usman,Gilbert Burns,1,0,0
2021-02-13,UFC 258: Usman vs. Burns,Alexa Grasso,Maycee Barber,1,0,0
2021-02-13,UFC 258: Usman vs. Burns,Kelvin Gastelum,Ian Heinisch,1,0,0
2021-02-13,UFC 258: Usman vs. Burns,Ricky Simon,Brian Kelleher,1,0,0
2021-02-13,UFC 258: Usman vs. Burns,Julian Marquez,Maki Pitolo,1,0,0
2021-02-13,UFC 258: Usman vs. Burns,Anthony Hernandez,Rodolfo Vieira,1,0,0
2021-02-13,UFC 258: Usman vs. Burns,Belal Muhammad,Dhiego Lima,1,0,0
2021-02-13,UFC 258: Usman vs. Burns,Polyana Viana,Mallory Martin,1,0,0
2021-02-13,UFC 258: Usman vs. Burns,Chris Gutierrez,Andre Ewell,1,0,0
2021-02-13,UFC 258: Usman vs. Burns,Gabe Green,Philip Rowe,1,0,0
2021-02-06,UFC Fight Night: Overeem vs. Volkov,Alexander Volkov,Alistair Overeem,1,0,0
2021-02-06,UFC Fight Night: Overeem vs. Volkov,Cory Sandhagen,Frankie Edgar,1,0,0
2021-02-06,UFC Fight Night: Overeem vs. Volkov,Clay Guida,Michael Johnson,1,0,0
2021-02-06,UFC Fight Night: Overeem vs. Volkov,Alexandre Pantoja,Manel Kape,1,0,0
2021-02-06,UFC Fight Night: Overeem vs. Volkov,Beneil Dariush,Diego Ferreira,1,0,0
2021-02-06,UFC Fight Night: Overeem vs. Volkov,Danilo Marques,Mike Rodriguez,1,0,0
2021-02-06,UFC Fight Night: Overeem vs. Volkov,Devonte Smith,Justin Jaynes,1,0,0
2021-02-06,UFC Fight Night: Overeem vs. Volkov,Karol Rosa,Joselyne Edwards,1,0,0
2021-02-06,UFC Fight Night: Overeem vs. Volkov,Lara Procopio,Molly McCann,1,0,0
2021-02-06,UFC Fight Night: Overeem vs. Volkov,SeungWoo Choi,Youssef Zalal,1,0,0
2021-02-06,UFC Fight Night: Overeem vs. Volkov,Timur Valiev,Martin Day,1,0,0
2021-02-06,UFC Fight Night: Overeem vs. Volkov,Ode Osbourne,Jerome Rivera,1,0,0
2021-01-23,UFC 257: Poirier vs. McGregor,Dustin Poirier,Conor McGregor,1,0,0
2021-01-23,UFC 257: Poirier vs. McGregor,Michael Chandler,Dan Hooker,1,0,0
2021-01-23,UFC 257: Poirier vs. McGregor,Joanne Calderwood,Jessica Eye,1,0,0
2021-01-23,UFC 257: Poirier vs. McGregor,Makhmud Muradov,Andrew Sanchez,1,0,0
2021-01-23,UFC 257: Poirier vs. McGregor,Marina Rodriguez,Amanda Ribas,1,0,0
2021-01-23,UFC 257: Poirier vs. McGregor,Arman Tsarukyan,Matt Frevola,1,0,0
2021-01-23,UFC 257: Poirier vs. McGregor,Brad Tavares,Antonio Carlos Junior,1,0,0
2021-01-23,UFC 257: Poirier vs. McGregor,Julianna Pena,Sara McMann,1,0,0
2021-01-23,UFC 257: Poirier vs. McGregor,Marcin Prachnio,Khalil Rountree Jr.,1,0,0
2021-01-23,UFC 257: Poirier vs. McGregor,Movsar Evloev,Nik Lentz,1,0,0
2021-01-23,UFC 257: Poirier vs. McGregor,Amir Albazi,Zhalgas Zhumagulov,1,0,0
2021-01-20,UFC Fight Night: Chiesa vs. Magny,Michael Chiesa,Neil Magny,1,0,0
2021-01-20,UFC Fight Night: Chiesa vs. Magny,Warlley Alves,Mounir Lazzez,1,0,0
2021-01-20,UFC Fight Night: Chiesa vs. Magny,Ike Villanueva,Vinicius Moreira,1,0,0
2021-01-20,UFC Fight Night: Chiesa vs. Magny,Viviane Araujo,Roxanne Modafferi,1,0,0
2021-01-20,UFC Fight Night: Chiesa vs. Magny,Matt Schnell,Tyson Nam,1,0,0
2021-01-20,UFC Fight Night: Chiesa vs. Magny,Lerone Murphy,Douglas Silva de Andrade,1,0,0
2021-01-20,UFC Fight Night: Chiesa vs. Magny,Omari Akhmedov,Tom Breese,1,0,0
2021-01-20,UFC Fight Night: Chiesa vs. Magny,Ricky Simon,Gaetano Pirrello,1,0,0
2021-01-20,UFC Fight Night: Chiesa vs. Magny,Su Mudaerji,Zarrukh Adashev,1,0,0
2021-01-20,UFC Fight Night: Chiesa vs. Magny,Dalcha Lungiambula,Markus Perez,1,0,0
2021-01-20,UFC Fight Night: Chiesa vs. Magny,Francisco Figueiredo,Jerome Rivera,1,0,0
2021-01-20,UFC Fight Night: Chiesa vs. Magny,Mike Davis,Mason Jones,1,0,0
2021-01-20,UFC Fight Night: Chiesa vs. Magny,Umar Nurmagomedov,Sergey Morozov,1,0,0
2021-01-20,UFC Fight Night: Chiesa vs. Magny,Manon Fiorot,Victoria Leonardo,1,0,0
2021-01-16,UFC Fight Night: Holloway vs. Kattar,Max Holloway,Calvin Kattar,1,0,0
2021-01-16,UFC Fight Night: Holloway vs. Kattar,Carlos Condit,Matt Brown,1,0,0
2021-01-16,UFC Fight Night: Holloway vs. Kattar,Li Jingliang,Santiago Ponzinibbio,1,0,0
2021-01-16,UFC Fight Night: Holloway vs. Kattar,Alessio Di Chirico,Joaquin Buckley,1,0,0
2021-01-16,UFC Fight Night: Holloway vs. Kattar,Punahele Soriano,Dusko Todorovic,1,0,0
2021-01-16,UFC Fight Night: Holloway vs. Kattar,Joselyne Edwards,Wu Yanan,1,0,0
2021-01-16,UFC Fight Night: Holloway vs. Kattar,Carlos Felipe,Justin Tafa,1,0,0
2021-01-16,UFC Fight Night: Holloway vs. Kattar,Ramazan Emeev,David Zawada,1,0,0
2021-01-16,UFC Fight Night: Holloway vs. Kattar,Vanessa Melo,Sarah Moras,1,0,0
2021-01-16,UFC Fight Night: Holloway vs. Kattar,Austin Lingo,Jacob Kilburn,1,0,0
2020-12-19,UFC Fight Night: Thompson vs. Neal,Stephen Thompson,Geoff Neal,1,0,0
2020-12-19,UFC Fight Night: Thompson vs. Neal,Jose Aldo,Marlon Vera,1,0,0
2020-12-19,UFC Fight Night: Thompson vs. Neal,Michel Pereira,Khaos Williams,1,0,0
2020-12-19,UFC Fight Night: Thompson vs. Neal,Rob Font,Marlon Moraes,1,0,0
2020-12-19,UFC Fight Night: Thompson vs. Neal,Marcin Tybura,Greg Hardy,1,0,0
2020-12-19,UFC Fight Night: Thompson vs. Neal,Anthony Pettis,Alex Morono,1,0,0
2020-12-19,UFC Fight Night: Thompson vs. Neal,Pannie Kianzad,Sijara Eubanks,1,0,0
2020-12-19,UFC Fight Night: Thompson vs. Neal,Deron Winn,Antonio Arroyo,1,0,0
2020-12-19,UFC Fight Night: Thompson vs. Neal,Taila Santos,Gillian Robertson,1,0,0
2020-12-19,UFC Fight Night: Thompson vs. Neal,Tafon Nchukwi,Jamie Pickett,1,0,0
2020-12-19,UFC Fight Night: Thompson vs. Neal,Jimmy Flick,Cody Durden,1,0,0
2020-12-19,UFC Fight Night: Thompson vs. Neal,Christos Giagos,Carlton Minus,1,0,0
2020-12-12,UFC 256: Figueiredo vs. Moreno,Deiveson Figueiredo,Brandon Moreno,0,1,0
2020-12-12,UFC 256: Figueiredo vs. Moreno,Charles Oliveira,Tony Ferguson,1,0,0
2020-12-12,UFC 256: Figueiredo vs. Moreno,Mackenzie Dern,Virna Jandiroba,1,0,0
2020-12-12,UFC 256: Figueiredo vs. Moreno,Kevin Holland,Jacare Souza,1,0,0
2020-12-12,UFC 256: Figueiredo vs. Moreno,Ciryl Gane,Junior Dos Santos,1,0,0
2020-12-12,UFC 256: Figueiredo vs. Moreno,Cub Swanson,Daniel Pineda,1,0,0
2020-12-12,UFC 256: Figueiredo vs. Moreno,Rafael Fiziev,Renato Moicano,1,0,0
2020-12-12,UFC 256: Figueiredo vs. Moreno,Gavin Tucker,Billy Quarantillo,1,0,0
2020-12-12,UFC 256: Figueiredo vs. Moreno,Tecia Torres,Sam Hughes,1,0,0
2020-12-12,UFC 256: Figueiredo vs. Moreno,Chase Hooper,Peter Barrett,1,0,0
2020-12-05,UFC Fight Night: Hermansson vs. Vettori,Marvin Vettori,Jack Hermansson,1,0,0
2020-12-05,UFC Fight Night: Hermansson vs. Vettori,Jamahal Hill,Ovince Saint Preux,1,0,0
2020-12-05,UFC Fight Night: Hermansson vs. Vettori,Gabriel Benitez,Justin Jaynes,1,0,0
2020-12-05,UFC Fight Night: Hermansson vs. Vettori,Roman Dolidze,John Allan,1,0,0
2020-12-05,UFC Fight Night: Hermansson vs. Vettori,Jordan Leavitt,Matt Wiman,1,0,0
2020-12-05,UFC Fight Night: Hermansson vs. Vettori,Louis Smolka,Jose Quinonez,1,0,0
2020-12-05,UFC Fight Night: Hermansson vs. Vettori,Ilia Topuria,Damon Jackson,1,0,0
2020-12-05,UFC Fight Night: Hermansson vs. Vettori,Jake Collier,Gian Villante,1,0,0
2020-11-28,UFC Fight Night: Smith vs. Clark,Anthony Smith,Devin Clark,1,0,0
2020-11-28,UFC Fight Night: Smith vs. Clark,Miguel Baeza,Takashi Sato,1,0,0
2020-11-28,UFC Fight Night: Smith vs. Clark,Parker Porter,Josh Parisian,1,0,0
2020-11-28,UFC Fight Night: Smith vs. Clark,Bill Algeo,Spike Carlyle,1,0,0
2020-11-28,UFC Fight Night: Smith vs. Clark,Norma Dumont,Ashlee Evans-Smith,1,0,0
2020-11-28,UFC Fight Night: Smith vs. Clark,Jonathan Pearce,Kai Kamaka,1,0,0
2020-11-28,UFC Fight Night: Smith vs. Clark,Anderson Dos Santos,Martin Day,1,0,0
2020-11-28,UFC Fight Night: Smith vs. Clark,Gina Mazany,Rachael Ostovich,1,0,0
2020-11-28,UFC Fight Night: Smith vs. Clark,Su Mudaerji,Malcolm Gordon,1,0,0
2020-11-28,UFC Fight Night: Smith vs. Clark,Nate Maness,Luke Sanders,1,0,0
2020-11-21,UFC 255: Figueiredo vs. Perez,Deiveson Figueiredo,Alex Perez,1,0,0
2020-11-21,UFC 255: Figueiredo vs. Perez,Valentina Shevchenko,Jennifer Maia,1,0,0
2020-11-21,UFC 255: Figueiredo vs. Perez,Tim Means,Mike Perry,1,0,0
2020-11-21,UFC 255: Figueiredo vs. Perez,Katlyn Chookagian,Cynthia Calvillo,1,0,0
2020-11-21,UFC 255: Figueiredo vs. Perez,Paul Craig,Mauricio Rua,1,0,0
2020-11-21,UFC 255: Figueiredo vs. Perez,Brandon Moreno,Brandon Royval,1,0,0
2020-11-21,UFC 255: Figueiredo vs. Perez,Joaquin Buckley,Jordan Wright,1,0,0
2020-11-21,UFC 255: Figueiredo vs. Perez,Antonina Shevchenko,Ariane Lipski,1,0,0
2020-11-21,UFC 255: Figueiredo vs. Perez,Nicolas Dalby,Daniel Rodriguez,1,0,0
2020-11-21,UFC 255: Figueiredo vs. Perez,Alan Jouban,Jared Gooden,1,0,0
2020-11-21,UFC 255: Figueiredo vs. Perez,Kyle Daukaus,Dustin Stoltzfus,1,0,0
2020-11-21,UFC 255: Figueiredo vs. Perez,Sasha Palatnikov,Louis Cosce,1,0,0
2020-11-14,UFC Fight Night: Felder vs. Dos Anjos,Rafael Dos Anjos,Paul Felder,1,0,0
2020-11-14,UFC Fight Night: Felder vs. Dos Anjos,Khaos Williams,Abdul Razak Alhassan,1,0,0
2020-11-14,UFC Fight Night: Felder vs. Dos Anjos,Ashley Yoder,Miranda Granger,1,0,0
2020-11-14,UFC Fight Night: Felder vs. Dos Anjos,Sean Strickland,Brendan Allen,1,0,0
2020-11-14,UFC Fight Night: Felder vs. Dos Anjos,Cory McKenna,Kay Hansen,1,0,0
2020-11-14,UFC Fight Night: Felder vs. Dos Anjos,Kanako Murata,Randa Markos,1,0,0
2020-11-14,UFC Fight Night: Felder vs. Dos Anjos,Tony Gravely,Geraldo de Freitas,1,0,0
2020-11-14,UFC Fight Night: Felder vs. Dos Anjos,Alex Morono,Rhys McKee,1,0,0
2020-11-14,UFC Fight Night: Felder vs. Dos Anjos,Don'Tale Mayes,Roque Martinez,1,0,0
2020-11-07,UFC Fight Night: Santos vs. Teixeira,Glover Teixeira,Thiago Santos,1,0,0
2020-11-07,UFC Fight Night: Santos vs. Teixeira,Andrei Arlovski,Tanner Boser,1,0,0
2020-11-07,UFC Fight Night: Santos vs. Teixeira,Raoni Barcelos,Khalid Taha,1,0,0
2020-11-07,UFC Fight Night: Santos vs. Teixeira,Giga Chikadze,Jamey Simmons,1,0,0
2020-11-07,UFC Fight Night: Santos vs. Teixeira,Yan Xiaonan,Claudia Gadelha,1,0,0
2020-11-07,UFC Fight Night: Santos vs. Teixeira,Trevin Giles,Bevon Lewis,1,0,0
2020-11-07,UFC Fight Night: Santos vs. Teixeira,Alexandr Romanov,Marcos Rogerio de Lima,1,0,0
2020-11-07,UFC Fight Night: Santos vs. Teixeira,Darren Elkins,Eduardo Garagorri,1,0,0
2020-11-07,UFC Fight Night: Santos vs. Teixeira,Max Griffin,Ramiz Brahimaj,1,0,0
2020-11-07,UFC Fight Night: Santos vs. Teixeira,Gustavo Lopez,Anthony Birchak,1,0,0
2020-10-31,UFC Fight Night: Hall vs. Silva,Uriah Hall,Anderson Silva,1,0,0
2020-10-31,UFC Fight Night: Hall vs. Silva,Bryce Mitchell,Andre Fili,1,0,0
2020-10-31,UFC Fight Night: Hall vs. Silva,Greg Hardy,Maurice Greene,1,0,0
2020-10-31,UFC Fight Night: Hall vs. Silva,Kevin Holland,Charlie Ontiveros,1,0,0
2020-10-31,UFC Fight Night: Hall vs. Silva,Thiago Moises,Bobby Green,1,0,0
2020-10-31,UFC Fight Night: Hall vs. Silva,Alexander Hernandez,Chris Gruetzemacher,1,0,0
2020-10-31,UFC Fight Night: Hall vs. Silva,Adrian Yanez,Victor Rodriguez,1,0,0
